ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.440279,1.859522,9.591031,0.017728,1.628174,9.670528,0.073919,0.153808,-0.152328,-0.033022,-0.098667,-0.232487,67.0,14.1,0.75,-39.6,298.74,-9.4145,0.3498,5.0,21.50188,48.843895,2.353362,304.1936,NaN,,44.903225,,0 / 28,12,2022-01-10 16:39:20:794
-0.215952,1.585245,9.465408,-0.021065,1.897206,9.621359,-0.130041,-0.197882,-0.715066,-0.011584,-0.094539,-0.926886,82.0,12.975,2.025,-39.075,306.3748,-11.1548,0.1254,5.0,22.99701,48.843895,2.353362,304.1936,NaN,,44.903225,,0 / 28,513,2022-01-10 16:39:21:295
-0.664008,1.943271,9.724133,-0.13112,1.443588,9.698931,-1.399451,-0.179298,-0.274526,-0.22503,0.121037,0.120771,101.0,12.15,3.75,-37.2,310.1218,-9.7629,-0.1785,5.0,22.97395,48.843895,2.353362,304.1936,NaN,,44.903225,,0 / 28,1012,2022-01-10 16:39:21:794
0.490828,2.305186,9.055637,-0.280712,2.4243,9.498124,0.001392,-0.515962,-0.571927,0.453257,0.493469,0.430754,108.0,12.225,3.75,-33.3,317.7168,-14.3125,1.6929,5.0,43.15596,48.843895,2.353362,304.1936,NaN,,44.903225,,0 / 28,1512,2022-01-10 16:39:22:294
0.742373,1.28345,9.58146,-0.170847,1.038407,9.750021,0.532637,0.076827,-0.298205,0.271102,-0.313711,-0.49307,127.0,15.9,2.625,-30.225,297.2715,-8.9426,1.9764,5.0,50.66001,48.843895,2.353362,304.1936,NaN,,44.903225,,0 / 28,2012,2022-01-10 16:39:22:794
1.365105,0.988834,9.597013,-0.168154,0.642894,9.784109,0.416331,-0.383675,0.842211,-0.167774,0.117575,-1.243793,160.0,12.075,11.7,-31.05,320.7231,-3.7588,0.9846,5.0,71.74866,48.843895,2.353362,304.1936,NaN,,44.903225,,0 / 28,2514,2022-01-10 16:39:23:296
0.884746,1.422533,9.126525,0.503905,0.489146,9.781472,-0.70115,0.728669,0.425204,-0.197734,0.234484,-0.816901,99.0,5.625,13.95,-39.075,333.3095,-2.859,-2.9491,5.0,65.34735,48.843895,2.353362,304.1936,NaN,,44.903225,,0 / 28,3013,2022-01-10 16:39:23:795
1.305285,-0.384945,9.278469,-0.441397,1.830434,9.624191,1.674889,-2.145752,-0.365942,0.521165,-0.977618,-1.315829,43.0,3.375,15.675,-38.025,3.1669,-4.6536,6.0975,5.0,41.96147,48.843895,2.353362,304.1936,NaN,,44.903225,,0 / 28,3512,2022-01-10 16:39:24:294
-2.787638,-0.402892,9.353843,0.189399,1.400243,9.70432,-2.681417,-1.84103,0.023604,-0.050332,-0.250197,-1.91662,46.0,-10.95,7.65,-36.525,33.909,-9.6702,-2.2714,5.0,48.83432,48.843895,2.353362,304.1936,NaN,,44.903225,,0 / 28,4012,2022-01-10 16:39:24:794
1.182952,1.529014,9.207881,0.393491,0.751295,9.769908,-0.662831,-0.402933,-0.001848,0.333951,-0.145005,0.028362,45.0,-17.55,-10.125,-32.175,114.0895,-4.3938,-2.3064,5.0,38.64552,48.843895,2.353362,304.1936,NaN,,44.903225,,0 / 28,4512,2022-01-10 16:39:25:294
0.040379,1.172184,9.713365,0.824384,1.582925,9.642879,-0.670208,-0.351877,0.26907,-0.040079,-0.017976,-0.050465,42.0,-17.025,-14.175,-29.85,121.2775,-9.4041,-5.0442,5.0,35.84102,48.84395,2.3533754,283.2029,NaN,3.384,93.367744,293.8,0 / 28,5013,2022-01-10 16:39:25:795
-0.27338,1.984248,10.019945,0.225658,2.206541,9.55252,-0.514656,-0.946425,0.106255,0.07217,-0.108387,-0.604786,38.0,-17.1,-19.875,-27.15,132.882,-13.0031,-1.3532,5.0,30.56087,48.84395,2.3533754,283.2029,NaN,3.384,93.367744,293.8,0 / 28,5512,2022-01-10 16:39:26:294
-0.165703,3.901796,8.612666,-0.053429,3.175126,9.27826,-0.554756,0.108762,-0.107136,-0.003595,0.068308,0.070705,42.0,-10.35,-24.975,-24.825,143.446,-18.2798,0.2105,5.0,23.17598,48.84394,2.3533635,285.0952,NaN,0.72,93.367744,34.4,avr-28,6012,2022-01-10 16:39:26:794
1.565205,1.88704,9.188738,-0.349212,0.981401,9.751169,1.674924,1.688254,-0.395217,-0.733946,0.153793,-0.330755,34.0,-8.775,-23.4,-26.7,153.7708,-5.7435,2.051,5.0,26.83511,48.84394,2.3533635,285.0952,NaN,0.72,93.367744,34.4,avr-28,6512,2022-01-10 16:39:27:294
-0.429213,-0.824626,9.52164,0.188524,-0.627987,9.784707,-1.30422,-1.004544,1.119588,0.228492,-0.307187,-0.303991,27.0,-2.25,-19.125,-30.975,171.7082,5.517,2.2011,5.0,34.79514,48.84393,2.3533614,286.5203,NaN,1.188,89.909676,45.6,mai-28,7012,2022-01-10 16:39:27:794
-0.920339,-0.28684,17.92254,-0.378873,-1.485837,9.686028,-0.305289,2.070979,4.341986,1.197056,0.158986,-0.097336,27.0,8.475,-17.7,-31.575,191.5901,7.2272,2.6852,5.0,37.47753,48.84393,2.3533614,286.5203,NaN,1.188,89.909676,45.6,mai-28,7512,2022-01-10 16:39:28:294
1.536192,-13.799707,-0.343071,2.518928,-7.333663,-6.003562,3.137329,-5.341956,4.973871,-19.30482,-6.104984,0.288279,29.0,8.775,-6.3,-7.575,129.0076,10.0239,96.8102,5.0,62.94768,48.84393,2.3533497,265.3868,NaN,1.8,79.535484,281.8,mai-28,8013,2022-01-10 16:39:28:795
10.400702,-15.34248,12.942478,4.631278,-7.43843,4.403568,-1.3425,-4.026252,2.314727,0.089213,-2.331662,-5.892203,10.0,8.775,16.05,-10.95,263.8058,63.0803,-9.1996,1.97,57.88191,48.84393,2.3533497,265.3868,NaN,1.8,79.535484,281.8,mai-28,8512,2022-01-10 16:39:29:294
1.159024,7.518847,7.711768,1.069849,4.533419,8.629827,1.164129,3.073767,2.060454,1.390129,2.354698,3.173196,22.0,-2.775,18.675,-25.875,349.4138,-33.0629,-18.8991,1.97,39.59717,48.843933,2.3533418,258.3961,NaN,,82.99355,,mai-28,9012,2022-01-10 16:39:29:794
2.959324,-0.495314,8.908479,3.903866,0.304286,8.990974,2.985093,3.357626,1.40454,-2.127137,3.295831,2.107031,15.0,5.85,-17.625,-31.575,226.7695,-1.7781,-23.4704,1.97,42.3588,48.843933,2.3533418,258.3961,NaN,,82.99355,,mai-28,9513,2022-01-10 16:39:30:295
-4.735097,1.188934,9.327521,-0.353269,-0.099221,9.799783,-0.039855,0.365533,1.106095,2.66E-4,0.363111,-0.092409,27.0,6.825,-21.375,-31.95,197.5574,0.648,0.4317,1.97,49.57251,48.84395,2.3533366,250.5145,NaN,,93.367744,,mai-28,10013,2022-01-10 16:39:30:795
1.515853,-0.531207,11.021341,1.494751,-0.80192,9.658832,0.637298,0.328326,1.403874,-0.194538,1.474283,-0.157388,25.0,2.475,-20.025,-32.325,196.9844,4.6905,-8.797,1.97,40.41544,48.84395,2.3533366,250.5145,NaN,,93.367744,,mai-28,10512,2022-01-10 16:39:31:294
0.443869,-0.41007,8.335996,0.73754,-0.867245,9.740345,-0.766805,0.031495,0.308121,-0.285482,-0.419169,-0.068175,29.0,8.4,-18.45,-32.1,204.4292,3.3136,-1.7901,1.97,36.34807,48.84397,2.35333,239.9073,NaN,,89.909676,,mai-28,11012,2022-01-10 16:39:31:794
0.372084,0.958924,20.63301,-0.28388,-1.22045,9.726269,0.727065,0.791168,1.736683,-0.206256,-0.013582,0.136483,33.0,3.225,-18.225,-34.65,185.0849,7.1491,1.6718,1.97,28.78163,48.84397,2.35333,239.9073,NaN,,89.909676,,mai-28,11512,2022-01-10 16:39:32:294
1.936392,-6.730711,-0.159721,2.717475,-4.876856,8.062382,-1.693675,-3.926881,-7.447523,-2.503297,10.352866,-14.051622,14.0,0.15,-8.1,-30.45,274.3688,-16.6017,-15.254,1.97,53.10251,48.843987,2.3533187,242.5799,NaN,5.58,82.99355,328.9,mai-28,12012,2022-01-10 16:39:32:794
3.59043,0.229412,13.076477,0.799099,0.761227,9.744349,-1.05099,-2.023345,3.511002,1.368292,0.671629,-0.753919,42.0,8.175,5.325,-30.525,304.9099,-4.452,-4.6881,1.97,58.69011,48.843987,2.3533187,242.5799,NaN,5.58,82.99355,328.9,mai-28,12513,2022-01-10 16:39:33:295
2.918646,1.540978,16.663616,2.753677,1.779569,9.242335,-2.37031,-0.601547,-0.514966,-2.062025,-1.062703,0.58428,35.0,13.875,3.9,-34.8,291.655,-10.4551,-16.591,1.97,27.20018,48.84399,2.353304,250.2254,NaN,,76.07742,,juin-28,13012,2022-01-10 16:39:33:794
0.378066,-2.603092,-0.120239,-8.560083,1.361028,4.587262,7.850214,-5.040785,-4.379884,6.710436,-4.798075,-7.574872,13.0,15.0,8.25,-32.4,30.9703,-16.6456,42.2396,1.97,41.30048,48.84399,2.353304,250.2254,NaN,,76.07742,,juin-28,13513,2022-01-10 16:39:34:295
0.530309,0.370888,10.616356,1.714073,-0.368494,9.648655,-1.283554,0.719972,1.954986,-0.831015,-0.491738,0.677089,35.0,-1.05,-11.925,-32.925,200.7129,-3.6496,-8.2381,1.97,60.40682,48.84399,2.353304,250.2254,NaN,,76.07742,,juin-28,14012,2022-01-10 16:39:34:794
4.985745,-0.659223,15.064912,4.934683,-1.162559,8.394506,-1.29432,0.130809,7.505646,0.209052,-1.798246,0.539141,37.0,10.875,-14.7,-33.45,216.7584,6.6025,-5.064,1.97,24.20473,48.84399,2.353304,250.2254,NaN,,76.07742,,juin-28,14512,2022-01-10 16:39:35:294
1.148256,0.230608,-0.244666,2.650654,6.131394,7.179864,-1.213375,-4.958909,-6.383813,2.466813,-14.729909,0.639273,50.0,-3.975,-24.0,-0.675,168.8479,-38.6989,-20.2631,1.97,46.82837,48.84399,2.3532903,253.11,NaN,1.944,62.245167,303.4,mai-28,15012,2022-01-10 16:39:35:794
-15.598512,-2.445166,-11.774183,-3.682669,1.963759,-8.874231,4.865477,1.00155,1.735843,3.123929,-8.224131,-1.890123,9.0,-14.325,-17.7,-0.075,195.8344,-26.6861,-102.3512,0.0,54.50769,48.84399,2.3532903,253.11,NaN,1.944,62.245167,303.4,mai-28,15512,2022-01-10 16:39:36:294
-3.321836,1.600798,10.484751,-1.2004,-0.270061,9.729156,-1.386574,1.186705,1.536561,0.303991,0.740736,-0.77509,41.0,22.2,-0.75,-8.925,266.3576,1.578,7.0337,1.97,58.57443,48.84399,2.353282,255.1047,NaN,2.34,69.16129,301.4,juin-28,16013,2022-01-10 16:39:36:795
1.428515,2.31715,20.273788,-1.379097,1.153735,9.640404,1.88742,2.555605,4.470514,1.825277,1.822347,1.093595,33.0,18.3,-4.35,-32.1,273.1369,-9.5329,-4.3145,1.97,51.48648,48.84399,2.353282,255.1047,NaN,2.34,69.16129,301.4,juin-28,16512,2022-01-10 16:39:37:294
0.413958,7.942975,4.967799,0.094915,7.702992,6.068386,0.443835,-1.087834,0.245198,0.190011,0.643134,0.880548,15.0,17.025,-26.4,-18.9,262.1694,-48.6075,3.5737,1.97,26.72048,48.84399,2.353282,255.1047,NaN,2.34,69.16129,301.4,juin-28,17012,2022-01-10 16:39:37:794
1.342374,3.845565,5.82772,-1.05607,6.653719,7.126228,0.001097,-0.391159,-1.450901,-2.734053,1.445255,-0.188147,21.0,12.6,-34.725,-6.825,227.926,-59.7272,-1.5263,1.97,24.16608,48.84399,2.353282,255.1047,NaN,2.34,69.16129,301.4,juin-28,17512,2022-01-10 16:39:38:294
-0.419641,2.218745,11.162518,-1.643001,0.839864,9.631488,0.575725,1.467689,1.390835,-0.790669,0.255256,0.071903,33.0,19.275,-24.225,-20.7,218.8016,-11.482,9.9776,1.97,25.7757,48.843983,2.3532908,268.5856,NaN,0.576,76.07742,271.3,juin-28,18013,2022-01-10 16:39:38:795
-2.282154,1.457229,9.215059,-2.220473,1.854752,9.370154,0.456684,0.194837,0.796784,0.225829,0.064979,0.064846,33.0,20.85,-17.925,-26.1,230.3305,-10.9021,13.3316,1.97,21.45976,48.843983,2.3532908,268.5856,NaN,0.576,76.07742,271.3,juin-28,18512,2022-01-10 16:39:39:294
